Banc de test optique V0.2

tension de test théorique : 12V
tension = 0.00 VDC;courant = 0.00 A;

Angle °;cd;X;Y;lux;temperature ambiante °C; temps après allumage en ms;
38.6;21.64;0.0000;0.0000;1.2269;1994.86;335083;
38.8;21.73;0.0000;0.0000;1.2317;1994.86;335499;
39.0;21.85;0.0000;0.0000;1.2386;1994.90;335915;
39.2;21.99;0.0000;0.0000;1.2468;1994.89;336331;
39.4;22.18;0.0000;0.0000;1.2574;1994.86;336747;
39.6;22.37;0.0000;0.0000;1.2683;1994.83;337163;
39.8;22.45;0.0000;0.0000;1.2726;1994.83;337579;
40.0;22.47;0.0000;0.0000;1.2739;1994.80;337995;
40.2;22.49;0.0000;0.0000;1.2750;1994.73;338411;
40.4;22.47;0.0000;0.0000;1.2740;1994.68;338827;
40.6;22.43;0.0000;0.0000;1.2717;1994.68;339243;
40.8;22.50;0.0000;0.0000;1.2752;1994.63;339659;
41.0;22.57;0.0000;0.0000;1.2797;1994.63;340075;
41.2;22.66;0.0000;0.0000;1.2848;1994.63;340491;
41.4;22.76;0.0000;0.0000;1.2901;1994.57;340907;
41.6;22.79;0.0000;0.0000;1.2920;1994.57;341323;
41.8;22.87;0.0000;0.0000;1.2963;1994.52;341739;
42.0;22.95;0.0000;0.0000;1.3008;1994.46;342155;
42.2;23.03;0.0000;0.0000;1.3055;1994.46;342571;
42.4;23.14;0.0000;0.0000;1.3116;1994.48;342987;
42.6;23.24;0.0000;0.0000;1.3173;1994.44;343403;
42.8;23.29;0.0000;0.0000;1.3202;1994.41;343819;
43.0;23.37;0.0000;0.0000;1.3248;1994.44;344235;
43.2;23.43;0.0000;0.0000;1.3281;1994.45;344651;
43.4;23.48;0.0000;0.0000;1.3313;1994.45;345067;
43.6;23.56;0.0000;0.0000;1.3355;1994.46;345483;
43.8;23.63;0.0000;0.0000;1.3398;1994.45;345899;
44.0;23.71;0.0000;0.0000;1.3441;1994.44;346315;
44.2;23.81;0.0000;0.0000;1.3496;1994.30;346731;
44.4;23.90;0.0000;0.0000;1.3549;1994.35;347147;
44.6;23.99;0.0000;0.0000;1.3602;1994.35;347563;
44.8;24.09;0.0000;0.0000;1.3654;1994.35;347979;
45.0;24.18;0.0000;0.0000;1.3707;1994.29;348395;
45.2;24.25;0.0000;0.0000;1.3746;1994.29;348811;
45.4;24.32;0.0000;0.0000;1.3785;1994.29;349227;
45.6;24.40;0.0000;0.0000;1.3832;1994.29;349643;
45.8;24.41;0.0000;0.0000;1.3840;1994.28;350059;
46.0;24.40;0.0000;0.0000;1.3831;1994.33;350475;
46.2;24.39;0.0000;0.0000;1.3827;1994.35;350891;
46.4;24.37;0.0000;0.0000;1.3817;1994.79;351307;
46.6;24.34;0.0000;0.0000;1.3797;1994.74;351723;
46.8;24.26;0.0000;0.0000;1.3755;1994.74;352139;
47.0;24.19;0.0000;0.0000;1.3712;1994.70;352555;
47.2;24.09;0.0000;0.0000;1.3658;1994.70;352971;
47.4;24.03;0.0000;0.0000;1.3622;1994.77;353387;
47.6;23.99;0.0000;0.0000;1.3599;1994.74;353803;
47.8;23.92;0.0000;0.0000;1.3558;1994.39;354219;
48.0;23.83;0.0000;0.0000;1.3511;1994.39;354635;
48.2;23.70;0.0000;0.0000;1.3433;1994.38;355051;
48.4;23.49;0.0000;0.0000;1.3319;1994.38;355467;
48.6;23.30;0.0000;0.0000;1.3211;1994.33;355883;
48.8;23.14;0.0000;0.0000;1.3120;1994.70;356299;
49.0;22.99;0.0000;0.0000;1.3036;1994.71;356715;
49.2;22.85;0.0000;0.0000;1.2954;1994.71;357131;
49.4;22.79;0.0000;0.0000;1.2917;1994.61;357547;
49.6;22.69;0.0000;0.0000;1.2865;1994.60;357963;
49.8;22.60;0.0000;0.0000;1.2811;1994.55;358379;
50.0;22.49;0.0000;0.0000;1.2750;1994.58;358795;
50.2;22.39;0.0000;0.0000;1.2692;1994.16;359211;
50.4;22.33;0.0000;0.0000;1.2657;1994.16;359627;
50.6;22.25;0.0000;0.0000;1.2612;1994.16;360043;
50.8;22.20;0.0000;0.0000;1.2585;1994.22;360459;
51.0;22.13;0.0000;0.0000;1.2544;1994.23;360875;
51.2;22.05;0.0000;0.0000;1.2498;1994.29;361291;
51.4;21.99;0.0000;0.0000;1.2468;1994.29;361707;
51.6;21.96;0.0000;0.0000;1.2450;1994.29;362123;
51.8;21.93;0.0000;0.0000;1.2434;1994.32;362539;
52.0;21.88;0.0000;0.0000;1.2405;1994.30;362955;
52.2;21.87;0.0000;0.0000;1.2400;1994.38;363371;
52.4;21.89;0.0000;0.0000;1.2408;1994.39;363787;
52.6;21.89;0.0000;0.0000;1.2412;1994.39;364203;
52.8;21.93;0.0000;0.0000;1.2434;1994.39;364619;
53.0;21.95;0.0000;0.0000;1.2443;1994.42;365035;
53.2;21.96;0.0000;0.0000;1.2450;1994.41;365451;
53.4;21.96;0.0000;0.0000;1.2449;1994.45;365867;
53.6;21.95;0.0000;0.0000;1.2445;1994.46;366283;
53.8;21.94;0.0000;0.0000;1.2438;1994.52;366699;
54.0;21.97;0.0000;0.0000;1.2456;1994.52;367115;
54.2;22.05;0.0000;0.0000;1.2498;1994.55;367531;
54.4;22.13;0.0000;0.0000;1.2543;1994.52;367947;
54.6;22.20;0.0000;0.0000;1.2585;1994.55;368363;
54.8;22.26;0.0000;0.0000;1.2619;1994.61;368779;
55.0;22.30;0.0000;0.0000;1.2643;1994.54;369195;
55.2;22.33;0.0000;0.0000;1.2658;1994.54;369611;
55.4;22.39;0.0000;0.0000;1.2694;1994.60;370027;
55.6;22.46;0.0000;0.0000;1.2735;1994.60;370443;
55.8;22.51;0.0000;0.0000;1.2760;1994.63;370859;
56.0;22.59;0.0000;0.0000;1.2807;1994.61;371275;
56.2;22.66;0.0000;0.0000;1.2848;1994.63;371691;
56.4;22.72;0.0000;0.0000;1.2880;1994.63;372107;
56.6;22.80;0.0000;0.0000;1.2928;1994.64;372523;
56.8;22.87;0.0000;0.0000;1.2963;1994.64;372939;
57.0;22.90;0.0000;0.0000;1.2984;1995.06;373355;
57.2;22.94;0.0000;0.0000;1.3007;1995.00;373771;
57.4;22.96;0.0000;0.0000;1.3014;1995.00;374187;
57.6;22.99;0.0000;0.0000;1.3034;1994.98;374603;
57.8;23.02;0.0000;0.0000;1.3051;1994.93;375019;
58.0;23.04;0.0000;0.0000;1.3061;1994.90;375435;
58.2;23.07;0.0000;0.0000;1.3078;1994.89;375851;
58.4;23.09;0.0000;0.0000;1.3087;1994.49;376267;
58.6;23.13;0.0000;0.0000;1.3113;1994.49;376683;
58.8;23.18;0.0000;0.0000;1.3139;1994.58;377099;
59.0;23.25;0.0000;0.0000;1.3181;1994.63;377515;
59.2;23.32;0.0000;0.0000;1.3219;1994.67;377931;
59.4;23.42;0.0000;0.0000;1.3277;1994.65;378347;
59.6;23.51;0.0000;0.0000;1.3330;1994.64;378763;
59.8;23.61;0.0000;0.0000;1.3387;1994.64;379179;
60.0;23.68;0.0000;0.0000;1.3426;1994.70;379595;
60.2;23.75;0.0000;0.0000;1.3462;1994.71;380010;
60.4;23.85;0.0000;0.0000;1.3518;1994.71;380426;
60.6;23.92;0.0000;0.0000;1.3563;1995.14;380842;
60.8;23.99;0.0000;0.0000;1.3602;1994.74;381258;
61.0;24.06;0.0000;0.0000;1.3639;1994.74;381674;
61.2;24.13;0.0000;0.0000;1.3678;1994.77;382090;
61.4;24.18;0.0000;0.0000;1.3710;1994.84;382506;
61.6;24.25;0.0000;0.0000;1.3749;1994.86;382922;
61.8;24.32;0.0000;0.0000;1.3785;1994.87;383338;
62.0;24.39;0.0000;0.0000;1.3825;1994.89;383754;
62.2;24.47;0.0000;0.0000;1.3873;1994.89;384170;
62.4;24.52;0.0000;0.0000;1.3902;1994.87;384586;
62.6;24.58;0.0000;0.0000;1.3933;1994.89;385002;
62.8;24.64;0.0000;0.0000;1.3966;1994.86;385418;
63.0;24.68;0.0000;0.0000;1.3993;1994.83;385834;
63.2;24.71;0.0000;0.0000;1.4006;1994.83;386250;
63.4;24.75;0.0000;0.0000;1.4028;1994.83;386666;
63.6;24.77;0.0000;0.0000;1.4040;1994.83;387082;
63.8;24.77;0.0000;0.0000;1.4042;1994.83;387498;
64.0;24.76;0.0000;0.0000;1.4039;1994.82;387914;
64.2;24.80;0.0000;0.0000;1.4057;1994.82;388330;
64.4;24.83;0.0000;0.0000;1.4076;1994.84;388746;
64.6;24.86;0.0000;0.0000;1.4091;1994.84;389162;
64.8;24.88;0.0000;0.0000;1.4104;1994.84;389578;
65.0;24.91;0.0000;0.0000;1.4122;1994.80;389994;
65.2;24.95;0.0000;0.0000;1.4143;1994.81;390410;
65.4;25.01;0.0000;0.0000;1.4175;1994.80;390826;
65.6;25.07;0.0000;0.0000;1.4209;1994.83;391242;
65.8;25.13;0.0000;0.0000;1.4246;1994.83;391658;
66.0;25.15;0.0000;0.0000;1.4260;1994.84;392074;
66.2;25.19;0.0000;0.0000;1.4282;1994.81;392490;
66.4;25.20;0.0000;0.0000;1.4287;1994.82;392906;
66.6;25.19;0.0000;0.0000;1.4277;1994.81;393322;
66.8;25.17;0.0000;0.0000;1.4271;1994.74;393738;
67.0;25.16;0.0000;0.0000;1.4261;1994.74;394154;
67.2;25.13;0.0000;0.0000;1.4245;1994.80;394570;
67.4;25.11;0.0000;0.0000;1.4232;1994.79;394986;
67.6;25.13;0.0000;0.0000;1.4245;1994.80;395402;
67.8;25.16;0.0000;0.0000;1.4262;1994.76;395818;
68.0;25.22;0.0000;0.0000;1.4295;1994.76;396234;
68.2;25.25;0.0000;0.0000;1.4313;1994.76;396650;
68.4;25.28;0.0000;0.0000;1.4332;1994.80;397066;
68.6;25.30;0.0000;0.0000;1.4343;1994.79;397482;
68.8;25.31;0.0000;0.0000;1.4348;1995.21;397898;
69.0;25.33;0.0000;0.0000;1.4362;1994.82;398314;
69.2;25.34;0.0000;0.0000;1.4367;1994.82;398730;
69.4;25.33;0.0000;0.0000;1.4358;1994.87;399146;
69.6;25.31;0.0000;0.0000;1.4348;1994.95;399562;
69.8;25.30;0.0000;0.0000;1.4340;1994.96;399978;
70.0;25.27;0.0000;0.0000;1.4328;1994.92;400394;
70.2;25.25;0.0000;0.0000;1.4313;1994.95;400810;
70.4;25.26;0.0000;0.0000;1.4317;1994.95;401226;
